BEHD @ YYE. Sim. done on 2023-10-24   16h15
### Sim. w/ κ =    0.100 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle = 1000000
# Index..   Height            Particle Number
 
 
 
#     1
    0.006250,      0.00000E+00,
    0.018750,      0.00000E+00,
    0.031250,      0.00000E+00,
    0.043750,      0.00000E+00,
    0.056250,      0.00000E+00,
    0.068750,      0.00000E+00,
    0.081250,      0.00000E+00,
    0.093750,      0.00000E+00,
    0.106250,      0.00000E+00,
    0.118750,      0.00000E+00,
    0.131250,      0.00000E+00,
    0.143750,      0.00000E+00,
    0.156250,      0.00000E+00,
    0.168750,      0.00000E+00,
    0.181250,      0.00000E+00,
    0.193750,      0.00000E+00,
    0.206250,      0.00000E+00,
    0.218750,      0.00000E+00,
    0.231250,      0.00000E+00,
    0.243750,      0.00000E+00,
    0.256250,      0.00000E+00,
    0.268750,      0.00000E+00,
    0.281250,      0.00000E+00,
    0.293750,      0.00000E+00,
    0.306250,      0.00000E+00,
    0.318750,      0.00000E+00,
    0.331250,      0.00000E+00,
    0.343750,      0.00000E+00,
    0.356250,      0.00000E+00,
    0.368750,      0.00000E+00,
    0.381250,      0.00000E+00,
    0.393750,      0.00000E+00,
    0.406250,      0.00000E+00,
    0.418750,      0.00000E+00,
    0.431250,      0.00000E+00,
    0.443750,      0.00000E+00,
    0.456250,      0.00000E+00,
    0.468750,      0.00000E+00,
    0.481250,      0.00000E+00,
    0.493750,      0.00000E+00,
    0.506250,      0.00000E+00,
    0.518750,      0.00000E+00,
    0.531250,      0.00000E+00,
    0.543750,      0.00000E+00,
    0.556250,      0.00000E+00,
    0.568750,      0.00000E+00,
    0.581250,      0.00000E+00,
    0.593750,      0.00000E+00,
    0.606250,      0.00000E+00,
    0.618750,      0.00000E+00,
    0.631250,      0.00000E+00,
    0.643750,      0.00000E+00,
    0.656250,      0.00000E+00,
    0.668750,      0.00000E+00,
    0.681250,      0.00000E+00,
    0.693750,      0.00000E+00,
    0.706250,      0.00000E+00,
    0.718750,      0.00000E+00,
    0.731250,      0.00000E+00,
    0.743750,      0.00000E+00,
    0.756250,      0.00000E+00,
    0.768750,      0.00000E+00,
    0.781250,      0.00000E+00,
    0.793750,      0.00000E+00,
    0.806250,      0.00000E+00,
    0.818750,      0.00000E+00,
    0.831250,      0.00000E+00,
    0.843750,      0.00000E+00,
    0.856250,      0.00000E+00,
    0.868750,      0.00000E+00,
    0.881250,      0.00000E+00,
    0.893750,      0.00000E+00,
    0.906250,      0.00000E+00,
    0.918750,      0.00000E+00,
    0.931250,      0.00000E+00,
    0.943750,      0.00000E+00,
    0.956250,      0.00000E+00,
    0.968750,      0.00000E+00,
    0.981250,      0.00000E+00,
    0.993750,      0.00000E+00,
    1.006250,      0.00000E+00,
    1.018750,      0.00000E+00,
    1.031250,      0.00000E+00,
    1.043750,      0.00000E+00,
    1.056250,      0.00000E+00,
    1.068750,      0.00000E+00,
    1.081250,      0.00000E+00,
    1.093750,      0.00000E+00,
    1.106250,      0.00000E+00,
    1.118750,      0.00000E+00,
    1.131250,      0.00000E+00,
    1.143750,      0.00000E+00,
    1.156250,      0.00000E+00,
    1.168750,      0.00000E+00,
    1.181250,      0.00000E+00,
    1.193750,      0.00000E+00,
    1.206250,      0.00000E+00,
    1.218750,      0.00000E+00,
    1.231250,      0.00000E+00,
    1.243750,      0.00000E+00,
    1.256250,      0.00000E+00,
    1.268750,      0.00000E+00,
    1.281250,      0.00000E+00,
    1.293750,      0.00000E+00,
    1.306250,      0.00000E+00,
    1.318750,      0.00000E+00,
    1.331250,      0.00000E+00,
    1.343750,      0.00000E+00,
    1.356250,      0.00000E+00,
    1.368750,      0.00000E+00,
    1.381250,      0.00000E+00,
    1.393750,      0.00000E+00,
    1.406250,      0.00000E+00,
    1.418750,      0.00000E+00,
    1.431250,      0.00000E+00,
